Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Max_Sel_Pre,Avg_Sel_Pre,Max_Cal,Avg_Cal,RMSE_STEP_Max,STEP_Max_Avg,RMSE_STEP_Mean,STEP_Mean_Avg,W0_std,W1_std,W2_std,W0_dif,W1_dif,W2_dif,RMSE_dif,MaxRMSE_dif,Cause_no
20240401125700-20240401154703,20240324000000-20240327000000,2024-04-01 15:45:03,VALCCG:D01_L22:PRES,7.96e-08,1.00e-08,7.01e+02,3.246e-08,2.02e-07,2.00e-07,1.84e-07,1.13e-07,1.04e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,1.52e-11,1.81e-13,1.74e-07,1.00e-08,2.55e-08,0.00e+00
20240401154730-20240401163932,20240324000000-20240327000000,2024-04-01 16:37:32,VALCCG:D01_L22:PRES,7.84e-08,1.00e-08,7.01e+02,3.246e-08,2.18e-07,2.18e-07,1.87e-07,1.13e-07,1.09e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,4.56e-12,2.53e-13,1.76e-07,1.00e-08,2.72e-08,0.00e+00
20240401164000-20240401180219,20240324000000-20240327000000,2024-04-01 18:00:19,VALCCG:D01_L22:PRES,8.07e-08,1.00e-08,7.01e+02,3.246e-08,2.21e-07,2.21e-07,1.87e-07,1.13e-07,1.07e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,2.76e-11,4.16e-14,1.71e-07,1.00e-08,2.83e-08,0.00e+00
20240401180230-20240401185109,20240324000000-20240327000000,2024-04-01 18:49:09,VALCCG:D01_L22:PRES,8.22e-08,1.00e-08,7.02e+02,3.246e-08,2.06e-07,1.98e-07,1.90e-07,1.13e-07,1.07e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,1.74e-11,1.32e-13,1.76e-07,1.00e-08,1.32e-08,0.00e+00
20240401190930-20240401205421,20240324000000-20240327000000,2024-04-01 20:52:21,VALCCG:D01_L22:PRES,8.27e-08,1.00e-08,7.02e+02,3.246e-08,2.21e-07,2.21e-07,1.88e-07,1.13e-07,1.05e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,2.21e-11,1.27e-13,1.74e-07,1.00e-08,2.84e-08,0.00e+00
20240401190930-20240401205421,20240324000000-20240327000000,2024-04-01 20:52:21,VALCCG:D10_L09C:PRES,3.51e-08,1.00e-08,7.02e+02,1.603e-08,1.16e-07,1.16e-07,9.49e-08,7.78e-08,6.00e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,6.30e-11,2.21e-13,2.39e-08,6.35e-11,1.28e-13,6.05e-08,1.00e-08,8.73e-09,0.00e+00
20240401205430-20240401221904,20240324000000-20240327000000,2024-04-01 22:17:04,VALCCG:D01_L22:PRES,8.01e-08,1.00e-08,8.51e+02,3.246e-08,2.05e-07,2.05e-07,1.94e-07,1.25e-07,1.14e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,1.84e-11,1.35e-13,1.74e-07,1.00e-08,9.27e-09,0.00e+00
20240401221930-20240401234040,20240324000000-20240327000000,2024-04-01 23:38:40,VALCCG:D01_L22:PRES,7.87e-08,1.00e-08,8.52e+02,3.246e-08,2.30e-07,2.30e-07,2.00e-07,1.25e-07,1.22e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.31e-11,2.00e-13,9.47e-08,6.50e-12,1.67e-13,1.81e-07,1.00e-08,2.79e-08,0.00e+00
20240402001430-20240402003447,20240325000000-20240328000000,2024-04-02 00:32:47,VALCCG:D01_L22:PRES,8.71e-08,1.00e-08,6.33e+02,3.562e-08,2.04e-07,2.04e-07,1.84e-07,1.05e-07,9.65e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.93e-11,6.13e-14,1.77e-07,1.00e-08,1.91e-08,0.00e+00
20240402001430-20240402003447,20240325000000-20240328000000,2024-04-02 00:32:47,VALCCG:D07_L00:PRES,9.54e-08,1.44e-08,6.33e+02,5.186e-08,3.67e-07,3.64e-07,2.98e-07,2.80e-07,2.03e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,2.23e-10,1.10e-12,1.29e-07,2.28e-10,0.00e+00,2.26e-07,1.12e-08,2.50e-08,0.00e+00
20240402001430-20240402003447,20240325000000-20240328000000,2024-04-02 00:32:47,VALCCG:D07_L01:PRES,4.00e-08,1.00e-08,6.33e+02,2.288e-08,1.13e-07,1.12e-07,9.55e-08,7.77e-08,5.58e-08,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.84e-11,5.48e-13,3.85e-08,6.09e-11,0.00e+00,7.62e-08,1.00e-08,9.20e-09,0.00e+00
20240402003500-20240402022709,20240325000000-20240328000000,2024-04-02 02:25:09,VALCCG:D01_L22:PRES,8.22e-08,1.00e-08,6.52e+02,3.562e-08,1.94e-07,1.94e-07,1.84e-07,1.09e-07,1.02e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,2.08e-11,1.30e-13,1.72e-07,1.00e-08,7.77e-09,0.00e+00
20240402022730-20240402054730,20240325000000-20240328000000,2024-04-02 05:45:30,VALCCG:D01_L22:PRES,7.91e-08,1.00e-08,8.52e+02,3.562e-08,2.37e-07,2.37e-07,1.98e-07,1.25e-07,1.19e-07,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.83e-11,2.06e-13,9.00e-08,1.14e-11,1.66e-13,1.77e-07,1.00e-08,3.47e-08,0.00e+00
