TEMP PV
FB_MOVE:D01:QC1L:TEMP
FB_MOVE:D01:QC1L:BWS:TEMP
FB_MOVE:D01:QC1H:TEMP
FB_MOVE:D01:QC1H:BWS:TEMP
FB_MOVE:D02:QC1L:TEMP
FB_MOVE:D02:QC1L:BWS:TEMP
FB_MOVE:D02:QC1H:TEMP
FB_MOVE:D02:QC1H:BWS:TEMP
FB_MOVE:D01:QC1L2:TEMP
FB_MOVE:D01:QC1H2:TEMP
FB_MOVE:D01:QC1L:BWS2:TEMP
FB_MOVE:D01:QC1H:BWS2:TEMP
