IP PV
VALIP:D01_IP_L01:CUR
VALIP:D01_IP_L02:CUR
VALIP:D01_IP_L03:CUR
VALIP:D01_IP_L04:CUR
VALIP:D01_IP_L05:CUR
VALIP:D01_IP_L06:CUR
VALIP:D01_IP_L07:CUR
VALIP:D01_IP_L08:CUR
VALIP:D01_IP_L09:CUR
VALIP:D01_IP_L10:CUR
VALIP:D01_IP_L11:CUR
VALIP:D01_IP_L12:CUR
VALIP:D01_IP_L13:CUR
VALIP:D01_IP_L14:CUR
VALIP:D01_IP_L15:CUR
VALIP:D01_IP_L16:CUR
VALIP:D01_IP_L17:CUR
VALIP:D01_IP_L18:CUR
VALIP:D01_IP_L19:CUR
VALIP:D01_IP_L20:CUR
VALIP:D01_IP_L21:CUR
VALIP:D01_IP_L22:CUR
VALIP:D01_IP_L23:CUR
VALIP:D01_IP_L01A:CUR
VALIP:D02_IP_L01:CUR
VALIP:D02_IP_L02:CUR
VALIP:D02_IP_L03:CUR
VALIP:D02_IP_L04:CUR
VALIP:D02_IP_L05:CUR
VALIP:D02_IP_L06:CUR
VALIP:D02_IP_L07:CUR
VALIP:D02_IP_L08:CUR
VALIP:D02_IP_L09:CUR
VALIP:D02_IP_L10:CUR
VALIP:D02_IP_L11:CUR
VALIP:D02_IP_L12:CUR
VALIP:D02_IP_L13:CUR
VALIP:D02_IP_L14:CUR
VALIP:D02_IP_L15:CUR
VALIP:D02_IP_L16:CUR
VALIP:D02_IP_L17:CUR
VALIP:D02_IP_L18:CUR
VALIP:D02_IP_L19:CUR
VALIP:D02_IP_L20:CUR
VALIP:D02_IP_L21:CUR
VALIP:D02_IP_L22:CUR
VALIP:D02_IP_L23:CUR
VALIP:D02_IP_L24:CUR
VALIP:D02_IP_L25:CUR
VALIP:D02_IP_L26:CUR
VALIP:D03_IP_L01:CUR
VALIP:D03_IP_L02:CUR
VALIP:D03_IP_L03:CUR
VALIP:D03_IP_L04:CUR
VALIP:D03_IP_L05:CUR
VALIP:D03_IP_L06:CUR
VALIP:D03_IP_L07:CUR
VALIP:D03_IP_L08:CUR
VALIP:D03_IP_L09:CUR
VALIP:D03_IP_L10:CUR
VALIP:D03_IP_L11:CUR
VALIP:D03_IP_L12:CUR
VALIP:D03_IP_L13:CUR
VALIP:D03_IP_L14:CUR
VALIP:D03_IP_L15:CUR
VALIP:D03_IP_L16:CUR
VALIP:D03_IP_L17:CUR
VALIP:D03_IP_L18:CUR
VALIP:D03_IP_L19:CUR
VALIP:D03_IP_L20:CUR
VALIP:D03_IP_L21:CUR
VALIP:D03_IP_L22:CUR
VALIP:D03_IP_L23:CUR
VALIP:D03_IP_L24:CUR
VALIP:D03_IP_L25:CUR
VALIP:D03_IP_L26:CUR
VALIP:D03_IP_L11A:CUR
VALIP:D04_IP_L01:CUR
VALIP:D04_IP_L02:CUR
VALIP:D04_IP_L03:CUR
VALIP:D04_IP_L04:CUR
VALIP:D04_IP_L05:CUR
VALIP:D04_IP_L06:CUR
VALIP:D04_IP_L07:CUR
VALIP:D04_IP_L08:CUR
VALIP:D04_IP_L09:CUR
VALIP:D04_IP_L10:CUR
VALIP:D04_IP_L11:CUR
VALIP:D04_IP_L12:CUR
VALIP:D04_IP_L13:CUR
VALIP:D04_IP_L14:CUR
VALIP:D04_IP_L15:CUR
VALIP:D04_IP_L16:CUR
VALIP:D04_IP_L17:CUR
VALIP:D04_IP_L18:CUR
VALIP:D04_IP_L19:CUR
VALIP:D04_IP_L20:CUR
VALIP:D04_IP_L21:CUR
VALIP:D04_IP_L22:CUR
VALIP:D04_IP_L23:CUR
VALIP:D04_IP_L24:CUR
VALIP:D04_IP_L09A:CUR
VALIP:D04_IP_L09B:CUR
VALIP:D04_IP_L09C:CUR
VALIP:D04_IP_L09D:CUR
VALIP:D05_4U_L01_A01C1:CUR
VALIP:D05_4U_L02_A01C2:CUR
VALIP:D05_4U_L03_A01C3:CUR
VALIP:D05_4U_L04_A01C4:CUR
VALIP:D05_4U_L05_A02C1:CUR
VALIP:D05_4U_L06_A02C2:CUR
VALIP:D05_4U_L07_A02C3:CUR
VALIP:D05_4U_L08_A02C4:CUR
VALIP:D05_4U_L09_A03C1:CUR
VALIP:D05_4U_L10_A03C2:CUR
VALIP:D05_4U_L11_A03C3:CUR
VALIP:D05_4U_L12_A03C4:CUR
VALIP:D05_4U_L13_A04C1:CUR
VALIP:D05_4U_L14_A04C2:CUR
VALIP:D05_4U_L15_A04C3:CUR
VALIP:D05_4U_L16_A04C4:CUR
VALIP:D05_4U_L17_A05C1:CUR
VALIP:D05_4U_L18_A05C2:CUR
VALIP:D05_4U_L20_A05C3:CUR
VALIP:D05_4U_L21_A05C4:CUR
VALIP:D05_4U_L22_A06C1:CUR
VALIP:D05_4U_L23_A06C2:CUR
VALIP:D05_4U_L24_A06C3:CUR
VALIP:D05_4U_L25_A06C4:CUR
VALIP:D05_4U_L26_A07C1:CUR
VALIP:D06_IP_L01:CUR
VALIP:D06_IP_L02:CUR
VALIP:D06_IP_L03:CUR
