FLOW PV
VA_FLS:D01_02_XXX:RATE
VA_FLS:D01_03_XXX:RATE
VA_FLS:D01_04_XXX:RATE
VA_FLS:D01_05_XXX:RATE
VA_FLS:D01_06_XXX:RATE
VA_FLS:D01_07_XXX:RATE
VA_FLS:D01_08_XXX:RATE
VA_FLS:D01_09_XXX:RATE
VA_FLS:D01_10_XXX:RATE
VA_FLS:D01_11_XXX:RATE
VA_FLS:D01_12_XXX:RATE
VA_FLS:D01_13_XXX:RATE
VA_FLS:D01_14_XXX:RATE
VA_FLS:D01_15_XXX:RATE
VA_FLS:D01_16_XXX:RATE
VA_FLS:D01_17_XXX:RATE
VA_FLS:D01_18_XXX:RATE
VA_FLS:D01_19_XXX:RATE
VA_FLS:D01_20_XXX:RATE
VA_FLS:D01_21_XXX:RATE
VA_FLS:D01_22_XXX:RATE
VA_FLS:D01_23_XXX:RATE
VA_FLS:D01_24_XXX:RATE
VA_FLS:D01_25_XXX:RATE
VA_FLS:D01_26_XXX:RATE
VA_FLS:D01_27_XXX:RATE
VA_FLS:D01_28_XXX:RATE
VA_FLS:D01_29_XXX:RATE
VA_FLS:D02_01_XXX:RATE
VA_FLS:D02_02_XXX:RATE
VA_FLS:D02_03_XXX:RATE
VA_FLS:D02_04_XXX:RATE
VA_FLS:D02_05_XXX:RATE
VA_FLS:D02_06_XXX:RATE
VA_FLS:D02_07_XXX:RATE
VA_FLS:D02_08_XXX:RATE
VA_FLS:D02_09_XXX:RATE
VA_FLS:D02_10_XXX:RATE
VA_FLS:D02_11_XXX:RATE
VA_FLS:D02_12_XXX:RATE
VA_FLS:D02_13_XXX:RATE
VA_FLS:D02_14_XXX:RATE
VA_FLS:D02_15_XXX:RATE
VA_FLS:D02_16_XXX:RATE
VA_FLS:D02_17_XXX:RATE
VA_FLS:D02_18_XXX:RATE
VA_FLS:D02_19_XXX:RATE
VA_FLS:D02_20_XXX:RATE
VA_FLS:D02_21_XXX:RATE
VA_FLS:D02_22_XXX:RATE
VA_FLS:D02_23_XXX:RATE
VA_FLS:D02_24_XXX:RATE
VA_FLS:D02_25_XXX:RATE
VA_FLS:D02_26_XXX:RATE
VA_FLS:D02_27_XXX:RATE
VA_FLS:D02_28_XXX:RATE
VA_FLS:D03_01_XXX:RATE
VA_FLS:D03_02_XXX:RATE
VA_FLS:D03_03_XXX:RATE
VA_FLS:D03_04_XXX:RATE
VA_FLS:D03_05_XXX:RATE
VA_FLS:D03_06_XXX:RATE
VA_FLS:D03_07_XXX:RATE
VA_FLS:D03_08_XXX:RATE
VA_FLS:D03_09_XXX:RATE
VA_FLS:D03_10_XXX:RATE
VA_FLS:D03_11_XXX:RATE
VA_FLS:D03_12_XXX:RATE
VA_FLS:D03_13_XXX:RATE
VA_FLS:D03_14_XXX:RATE
VA_FLS:D03_15_XXX:RATE
VA_FLS:D03_16_XXX:RATE
VA_FLS:D03_17_XXX:RATE
VA_FLS:D03_19_XXX:RATE
VA_FLS:D03_20_XXX:RATE
VA_FLS:D03_21_XXX:RATE
VA_FLS:D03_22_XXX:RATE
VA_FLS:D03_23_XXX:RATE
VA_FLS:D03_24_XXX:RATE
VA_FLS:D03_25_XXX:RATE
VA_FLS:D03_26_XXX:RATE
VA_FLS:D03_27_XXX:RATE
VA_FLS:D03_28_XXX:RATE
VA_FLS:D03_29_XXX:RATE
VA_FLS:D03_30_XXX:RATE
VA_FLS:D03_31_XXX:RATE
VA_FLS:D03_32_XXX:RATE
VA_FLS:D03_33_XXX:RATE
VA_FLS:D03_34_XXX:RATE
VA_FLS:D03_35_XXX:RATE
VA_FLS:D03_36_XXX:RATE
VA_FLS:D04_01_001:RATE
VA_FLS:D04_01_002:RATE
VA_FLS:D04_01_003:RATE
VA_FLS:D04_01_004:RATE
VA_FLS:D04_01_005:RATE
VA_FLS:D04_01_006:RATE
VA_FLS:D04_01_007:RATE
VA_FLS:D04_02_008:RATE
VA_FLS:D04_02_009:RATE
VA_FLS:D04_02_010:RATE
VA_FLS:D04_02_011:RATE
VA_FLS:D04_02_012:RATE
VA_FLS:D04_02_013:RATE
VA_FLS:D04_02_014:RATE
VA_FLS:D04_03_015:RATE
VA_FLS:D04_03_016:RATE
VA_FLS:D04_03_017:RATE
VA_FLS:D04_03_018:RATE
VA_FLS:D04_03_019:RATE
VA_FLS:D04_03_020:RATE
VA_FLS:D04_03_021:RATE
VA_FLS:D04_05_022:RATE
VA_FLS:D04_05_023:RATE
VA_FLS:D04_05_024:RATE
VA_FLS:D04_05_025:RATE
VA_FLS:D04_05_026:RATE
VA_FLS:D04_05_027:RATE
VA_FLS:D04_05_028:RATE
VA_FLS:D04_06_029:RATE
VA_FLS:D04_06_030:RATE
VA_FLS:D04_06_031:RATE
VA_FLS:D04_06_032:RATE
VA_FLS:D04_06_033:RATE
VA_FLS:D04_06_034:RATE
VA_FLS:D04_06_035:RATE
VA_FLS:D04_07_036:RATE
VA_FLS:D04_07_037:RATE
VA_FLS:D04_07_038:RATE
VA_FLS:D04_07_039:RATE
VA_FLS:D04_07_040:RATE
VA_FLS:D04_07_041:RATE
VA_FLS:D04_07_042:RATE
VA_FLS:D04_08_043:RATE
VA_FLS:D04_08_044:RATE
VA_FLS:D04_08_045:RATE
VA_FLS:D04_08_046:RATE
VA_FLS:D04_08_047:RATE
VA_FLS:D04_08_048:RATE
VA_FLS:D04_08_049:RATE
VA_FLS:D04_09_050:RATE
VA_FLS:D04_09_051:RATE
VA_FLS:D04_09_052:RATE
VA_FLS:D04_09_053:RATE
VA_FLS:D04_09_054:RATE
VA_FLS:D04_10_055:RATE
VA_FLS:D04_10_056:RATE
VA_FLS:D04_10_057:RATE
VA_FLS:D04_10_058:RATE
VA_FLS:D04_10_059:RATE
VA_FLS:D04_11_060:RATE
VA_FLS:D04_11_061:RATE
VA_FLS:D04_11_062:RATE
VA_FLS:D04_11_063:RATE
VA_FLS:D04_11_064:RATE
VA_FLS:D04_12_065:RATE
VA_FLS:D04_12_066:RATE
VA_FLS:D04_12_067:RATE
VA_FLS:D04_12_068:RATE
VA_FLS:D04_12_069:RATE
VA_FLS:D04_13_070:RATE
VA_FLS:D04_13_071:RATE
VA_FLS:D04_13_072:RATE
VA_FLS:D04_13_073:RATE
VA_FLS:D04_13_074:RATE
VA_FLS:D04_13_075:RATE
VA_FLS:D04_14_076:RATE
VA_FLS:D04_14_077:RATE
VA_FLS:D04_14_078:RATE
VA_FLS:D04_14_079:RATE
VA_FLS:D04_14_080:RATE
VA_FLS:D04_14_081:RATE
VA_FLS:D04_14_082:RATE
VA_FLS:D04_14_083:RATE
VA_FLS:D04_15_084:RATE
VA_FLS:D04_15_085:RATE
VA_FLS:D04_15_086:RATE
VA_FLS:D04_15_087:RATE
VA_FLS:D04_15_088:RATE
VA_FLS:D04_15_089:RATE
VA_FLS:D04_15_090:RATE
VA_FLS:D04_15_091:RATE
VA_FLS:D04_16_093:RATE
VA_FLS:D04_16_094:RATE
VA_FLS:D04_16_095:RATE
VA_FLS:D04_16_096:RATE
VA_FLS:D04_16_097:RATE
VA_FLS:D04_16_098:RATE
VA_FLS:D04_16_099:RATE
VA_FLS:D04_16_SRM:RATE
VA_FLS:D04_17_100:RATE
VA_FLS:D04_17_101:RATE
VA_FLS:D04_17_102:RATE
VA_FLS:D04_17_103:RATE
VA_FLS:D04_17_104:RATE
VA_FLS:D04_17_105:RATE
VA_FLS:D04_17_106:RATE
VA_FLS:D04_17_107:RATE
VA_FLS:D04_17_108:RATE
VA_FLS:D04_18_XXX:RATE
VA_FLS:D04_19_XXX:RATE
VA_FLS:D04_20_XXX:RATE
VA_FLS:D04_21_XXX:RATE
VA_FLS:D04_22_XXX:RATE
VA_FLS:D04_23_XXX:RATE
VA_FLS:D04_24_XXX:RATE
VA_FLS:D04_25_XXX:RATE
VA_FLS:D04_26_XXX:RATE
VA_FLS:D04_27_XXX:RATE
VA_FLS:D04_28_XXX:RATE
VA_FLS:D04_29_XXX:RATE
VA_FLS:D05_01_XXX:RATE
VA_FLS:D05_02_XXX:RATE
VA_FLS:D05_03_XXX:RATE
VA_FLS:D05_04_XXX:RATE
VA_FLS:D05_05_XXX:RATE
VA_FLS:D05_06_XXX:RATE
VA_FLS:D05_07_XXX:RATE
VA_FLS:D05_08_XXX:RATE
VA_FLS:D05_09_XXX:RATE
VA_FLS:D05_10_XXX:RATE
VA_FLS:D05_11_XXX:RATE
VA_FLS:D05_12_XXX:RATE
VA_FLS:D05_13_XXX:RATE
VA_FLS:D05_14_013:RATE
VA_FLS:D05_14_014:RATE
VA_FLS:D05_14_015:RATE
